index_strategie,nom,taille,coord_x,coord_y,orientation
1,sous-marin,3,1,1,S
1,cuirassé,4,2,2,S
1,torpilleur,2,3,3,S
1,porte-avions,5,4,4,S
1,frégate,3,5,5,S
2,porte-avions,5,1,1,S
2,torpilleur,2,1,6,S
2,frégate,3,5,5,S
2,sous-marin,3,6,9,N
2,cuirassé,4,9,1,E
3,frégate,3,1,2,E
3,cuirassé,4,5,5,S
3,torpilleur,2,3,6,N
3,sous-marin,3,9,1,E
3,porte-avions,5,9,8,N
4,torpilleur,2,3,6,S
4,cuirassé,4,10,4,E
4,porte-avions,5,9,6,N
4,frégate,3,2,5,E
4,sous-marin,3,10,1,E
5,sous-marin,3,1,1,S
5,cuirassé,4,2,2,S
5,torpilleur,2,3,3,S
5,porte-avions,5,4,4,S
5,frégate,3,5,5,S
6,sous-marin,3,1,1,S
6,cuirassé,4,2,2,S
6,torpilleur,2,3,3,S
6,porte-avions,5,4,4,S
6,frégate,3,5,5,S
7,sous-marin,3,10,8,N
7,torpilleur,2,9,3,O
7,cuirassé,4,2,9,S
7,porte-avions,5,6,6,O
7,frégate,3,7,5,S
